Customer_ID,Customer_Name,Gender,Date_of_Birth,Email,Phone,City,State,Country,Loyalty_Status,Join_Date
1003,Ekaraj Bath,Female,2005-02-28,bimalabuch@example.org,5255341928,Ujjain,Manipur,India,Silver,2025-01-30
1030,Jonathan Swaminathan,Female,1965-11-14,arorabhavani@example.com,0471167190,Phusro,Jharkhand,India,Platinum,2023-10-11
1160,Rayaan Nigam,Male,1990-02-19,sachdevachakradhar@example.net,8270808697,Adoni,Goa,India,Gold,2025-03-20
1491,Geetika Subramanian,Female,1969-01-18,cmital@example.org,9690282498,Bikaner,Sikkim,India,Gold,2024-07-31
1018,Nilima Narain,Male,1995-01-05,jmerchant@example.org,9946804436,Kirari Suleman Nagar,Manipur,India,Platinum,2024-01-28
1388,Noah Sarma,Male,1976-03-11,zramakrishnan@example.net,2939087884,Sagar,Tamil Nadu,India,Gold,2025-10-23
1024,Zayyan Bumb,Female,2001-02-06,vbahl@example.net,0033092327,Phusro,Gujarat,India,Silver,2025-02-26
1232,Varenya Shenoy,Male,1971-10-12,barkhapall@example.net,1581487696,Motihari,Goa,India,Gold,2025-07-26
1344,Ojasvi Krish,Male,2007-05-23,rachanashankar@example.com,0324841376,Arrah,Assam,India,Gold,2024-10-23
1380,Aditya Chaudhuri,Female,1967-12-11,mswamy@example.org,0243765456,Moradabad,Manipur,India,Gold,2024-05-03
1404,Lila Khare,Male,1960-03-08,falandua@example.net,4817175242,Gangtok,Kerala,India,Gold,2026-03-13
1269,Nicholas Bhardwaj,Female,1968-09-25,ekajashenoy@example.net,914565044818,Bareilly,Punjab,India,Silver,2025-12-28
1134,Ekaja Ganesh,Female,1989-02-05,nayaksanya@example.org,5410067626,Etawah,Nagaland,India,Platinum,2023-11-16
1090,Neelima Sarna,Male,1974-04-08,teerthbhalla@example.org,9953428364,Proddatur,Odisha,India,Silver,2023-10-02
1080,Hema Pandya,Female,2001-08-03,veda33@example.com,3757584419,Tenali,Uttarakhand,India,Platinum,2024-11-17
1029,Jagdish Wason,Female,2003-09-22,rehaankalita@example.net,9413435240,Panipat,Arunachal Pradesh,India,Platinum,2024-01-22
1064,Bishakha Sanghvi,Female,1958-07-05,panditwridesh@example.net,5188888067,Dindigul,Himachal Pradesh,India,Gold,2024-07-28
1158,Jagat Tank,Female,1959-03-29,chauhannetra@example.com,1994883755,Malda,Karnataka,India,Platinum,2025-08-31
1170,Hemangini Kakar,Female,2001-04-02,jvala@example.org,913129087814,Chandrapur,Bihar,India,Gold,2023-11-28
1273,Qasim Panchal,Female,1991-07-14,chanamadhav@example.net,2893891190,Nellore,Jharkhand,India,Platinum,2024-01-27
1377,Wriddhish Chander,Female,1997-06-25,daksheshchad@example.net,6827788160,Chennai,Tamil Nadu,India,Gold,2023-12-06
1255,Samaksh Nayak,Female,1993-02-27,azadbhasin@example.com,6253492929,Chandigarh,Maharashtra,India,Gold,2024-05-15
1207,Teerth Brahmbhatt,Male,2006-06-04,vasudha27@example.net,9610556613,Eluru,Arunachal Pradesh,India,Gold,2024-10-27
1403,Arjun Raja,Female,1964-06-21,sbarad@example.org,3322889857,Ramagundam,Kerala,India,Platinum,2025-09-06
1020,Hredhaan Sandal,Male,1984-08-01,patrickvasa@example.com,7278895798,Kozhikode,Telangana,India,Platinum,2024-08-01
1173,Nidhi Kala,Female,1956-04-07,ladurmi@example.net,9427881658,Srikakulam,Sikkim,India,Platinum,2025-09-13
1102,Oliver Saran,Male,1997-09-30,oviya47@example.org,9937124065,Ozhukarai,Manipur,India,Silver,2025-08-23
1135,Umang Gaba,Female,1995-12-20,zborah@example.org,1152621815,Ludhiana,Maharashtra,India,Gold,2025-02-21
1150,Andrew Agrawal,Female,1991-03-19,upkaarpadmanabhan@example.com,9421044789,Raebareli,Sikkim,India,Silver,2024-11-30
1159,Sneha Comar,Male,1968-11-16,kapadiaaarnav@example.com,5102726149,Jamshedpur,West Bengal,India,Silver,2025-12-05
1334,Ladli Choudhry,Male,2002-10-18,shivansh47@example.org,9611223386,Ratlam,Punjab,India,Platinum,2023-08-20
1427,Devika Setty,Female,1994-10-29,yaminicherian@example.org,9836314624,Siliguri,Manipur,India,Silver,2025-10-15
1458,Inaya Chopra,Female,1980-01-23,tripathisachi@example.org,919561642059,Vellore,Rajasthan,India,Platinum,2023-09-26
1496,Aarna D’Alia,Female,1968-12-28,xthakkar@example.com,2686120594,Raebareli,Arunachal Pradesh,India,Platinum,2023-10-11
1070,Dhruv Mannan,Male,1997-03-10,nakul25@example.net,3705895782,Amritsar,Jharkhand,India,Silver,2024-11-26
1085,Udyati Mohanty,Male,2003-04-24,nidrathakkar@example.net,9332727956,Siwan,Uttar Pradesh,India,Platinum,2024-07-20
1233,Harini Joshi,Female,1976-07-04,ksaran@example.com,7199758172,Coimbatore,Punjab,India,Gold,2025-08-06
1108,Tanish Jha,Male,1995-06-29,dev91@example.net,7147859696,Karnal,Kerala,India,Gold,2025-05-16
1394,Udarsh Bajwa,Female,1978-04-03,prisharajan@example.org,1721314519,Karimnagar,Assam,India,Platinum,2025-04-24
1143,Bachittar Shan,Female,1993-01-23,,911035797279,Hapur,Goa,India,Platinum,2024-05-25
1257,Wridesh Chacko,Male,2008-01-26,raytejas@example.org,0742799077,Machilipatnam,Goa,India,Silver,2023-12-18
1373,Aadhya Lad,Male,1984-02-08,zgade@example.com,918314359892,Satna,Uttar Pradesh,India,Silver,2026-03-11
1152,Omaja Sawhney,Female,1990-05-11,jdasgupta@example.com,4618499261,Ichalkaranji,Bihar,India,Gold,2023-08-18
